PowerDemand,HeatDemand,PV,Wind
176.9913804,145.3763212,0,39.79587028
170.9031822,144.6481,0,62.00086017
160.4034976,144.0830145,0,76.90327109
150.2796276,143.6083094,0,64.47390285
140.5084453,143.0067589,0,71.57694975
128.1470324,142.1192129,0,74.47683865
116.2365972,141.702695,0,83.82828296
106.9828828,142.0103597,0,83.79027141
102.6321049,142.8977367,0,105.3889864
101.1230643,144.9120118,0,127.7715891
101.2820628,147.9949673,0,134.8861357
103.3721707,152.1464603,0,145.0900137
111.0387907,156.8958256,0,142.8074823
132.703063,161.9712422,0,133.3178654
157.6224688,166.9922048,0,133.683003
166.0811905,171.3793641,21.549305,127.6566927
166.7027302,174.5891566,134.0743422,137.3362598
168.1828619,176.6720486,155.6100972,129.8235893
166.1014267,177.7404893,177.1422522,129.4235296
163.6094861,177.6500087,201.0646132,145.8135263
163.2510167,176.3277085,110.097981,147.2364058
161.9703558,173.9871918,21.53919498,180.7816737
160.2791896,170.7953609,0,196.2672285
167.4341234,166.8610425,0,203.1537868
179.2896319,162.8722701,0,213.505879
171.9988266,158.8834965,0,211.0177258
161.0366008,155.1665429,0,213.1663331
149.8315408,152.0833902,0,208.6868613
139.8840147,150.0689178,0,205.1303875
127.5688559,149.2900278,0,203.0778413
115.9532907,149.4169025,0,209.0728775
107.0840637,150.7026963,0,208.0876499
102.8865025,153.6550438,0,211.9400426
100.9178116,157.6256053,0,214.8737824
101.2965172,162.6648472,0,216.908686
103.3866252,168.2292059,0,218.8311588
111.2469342,174.1740686,0,222.0352507
132.4139747,180.3362985,0,219.7900673
157.4837064,186.2267061,0,217.8899218
166.6680396,192.026731,0,216.5020368
165.7111575,197.19281,45.39410587,216.7035894
167.5208499,200.2538311,88.39029562,206.9497426
166.6362399,201.6482961,66.88327072,206.299848
162.4964964,200.6883142,88.37258557,203.7824355
162.5398596,199.1486176,66.86972068,203.6242884
161.0626187,197.4601777,0,209.3732442
158.9031296,195.7898966,0,210.9937474
167.1045628,195.3334425,0,217.4122285
179.778191,194.9312186,0,223.9504342
172.8776549,194.2029412,0,229.6417756
162.3664067,193.7464836,0,226.2451986
151.4937982,192.8369856,0,220.307919
140.4911,192.1266948,0,217.1940821
128.6616095,191.5651449,0,214.0095931
117.5692939,192.8875171,0,218.2397921
109.9951822,196.8903862,0,232.1584718
105.5258781,201.690336,0,225.1072598
104.0746552,209.3561303,0,225.9718083
104.4273428,218.7427096,0,221.7579411
106.5376869,230.8280886,0,210.5482845
113.9296731,242.750551,0,216.7887227
135.2354759,254.6730121,0,211.4197869
159.5767052,267.3018083,0,210.0624496
168.9344914,277.7752232,21.44865475,215.7246771
168.1973164,282.941274,88.16728505,216.1308606
169.4693046,283.611216,176.31315,214.1979135
168.0845719,279.0280252,200.1149108,211.4490207
163.8899017,271.9817034,200.0905107,199.2032507
163.2249987,261.0951427,133.3771404,177.6933221
160.958547,248.9729972,21.43295471,186.1786805
158.0243014,239.5861141,0,177.0168266
165.3844878,231.4130581,0,163.8411264
176.5143848,227.3155453,0,154.2988307
169.8855916,224.6309253,0,141.7776233
158.5533329,223.8483872,0,110.6176262
146.8279141,224.351755,0,83.13847841
137.1376765,225.1630141,0,70.93570707
125.3631127,228.405381,0,47.69121677
113.7648928,232.5535128,0,35.26242077
105.404461,235.6868807,0,39.23314511
101.1751002,238.0957514,0,63.80300808
99.04451988,239.2404691,0,80.84148932
99.18617311,240.4757099,0,77.60587427
101.4844246,240.6058055,0,83.47233531
109.0961178,241.0077209,0,83.71318016
130.4048115,241.9530559,0,90.32120301
155.1131829,243.3873576,0,85.8251219
162.3721884,243.6444353,0,76.21812299
161.2187264,242.8328304,66.51175977,50.86214875
161.2418534,239.5901153,87.87801431,41.84669616
157.8306123,234.4634758,87.86545428,34.91532042
152.5374067,228.3952832,87.85280424,24.54516313
148.7127694,222.8342172,66.47358967,17.00062689
143.6045803,219.2980909,21.36339453,16.68573386
142.1909388,216.6495964,0,29.08290954
152.1269014,215.3236131,0,33.47554093
165.9482099,215.6821221,0,36.8649749
161.9732467,217.3448396,0,54.09528585
149.877795,221.3443757,0,68.93941443
137.4412191,228.3687639,0,95.98603365
129.9769609,237.766042,0,148.7801362
120.9256083,249.7031121,0,176.9458781
111.989891,260.2635801,0,186.8371856
104.0168375,270.7874415,0,193.5284845
98.54150635,277.6523339,0,193.102396
95.44537136,281.4054431,0,181.1137422
94.39019931,281.5538144,0,181.9531394
95.08979284,275.3802019,0,171.4718048
97.42562577,266.6526216,0,167.7797173
